Sample in Buffer	Sample in Window	/dadata
631	631	48	
632	632	47	
633	633	45	
634	634	44	
635	635	43	
636	636	42	
637	637	41	
638	638	40	
639	639	38	
640	640	37	
641	641	36	
642	642	35	
643	643	34	
644	644	33	
645	645	32	
646	646	31	
647	647	30	
648	648	29	
649	649	28	
650	650	27	
651	651	26	
652	652	25	
653	653	24	
654	654	23	
655	655	22	
656	656	21	
657	657	20	
658	658	19	
659	659	18	
660	660	17	
661	661	17	
662	662	16	
663	663	15	
664	664	14	
665	665	14	
666	666	13	
667	667	12	
668	668	12	
669	669	11	
670	670	10	
671	671	10	
672	672	9	
673	673	9	
674	674	8	
675	675	7	
676	676	7	
677	677	6	
678	678	6	
679	679	5	
680	680	5	
681	681	5	
682	682	4	
683	683	4	
684	684	3	
685	685	3	
686	686	3	
687	687	2	
688	688	2	
689	689	2	
690	690	2	
691	691	1	
692	692	1	
693	693	1	
694	694	1	
695	695	1	
696	696	0	
697	697	0	
698	698	0	
699	699	0	
700	700	0	
701	701	0	
702	702	0	
703	703	0	
704	704	0	
705	705	0	
706	706	0	
707	707	0	
708	708	0	
709	709	0	
710	710	1	
711	711	1	
712	712	1	
713	713	1	
714	714	1	
715	715	2	
716	716	2	
717	717	2	
718	718	2	
719	719	3	
720	720	3	
721	721	3	
722	722	4	
723	723	4	
724	724	5	
725	725	5	
726	726	5	
727	727	6	
728	728	6	
729	729	7	
730	730	7	
731	731	8	
732	732	9	
733	733	9	
734	734	10	
735	735	10	
736	736	11	
737	737	12	
738	738	12	
739	739	13	
740	740	14	
741	741	15	
742	742	16	
743	743	17	
744	744	17	
745	745	18	
746	746	19	
747	747	20	
748	748	21	
749	749	21	
750	750	22	
751	751	23	
752	752	24	
753	753	25	
754	754	26	
755	755	27	
756	756	28	
757	757	29	
758	758	30	
759	759	31	
760	760	32	
761	761	33	
762	762	34	
763	763	35	
764	764	36	
765	765	37	
766	766	38	
767	767	40	
768	768	41	
769	769	42	
770	770	43	
771	771	44	
772	772	45	
773	773	47	
774	774	48	
775	775	49	
776	776	50	
777	777	52	
778	778	53	
779	779	54	
780	780	55	
781	781	57	
782	782	59	
783	783	61	
784	784	62	
785	785	63	
786	786	65	
787	787	66	
788	788	67	
789	789	69	
790	790	70	
791	791	72	
792	792	73	
793	793	74	
794	794	76	
795	795	77	
796	796	79	
797	797	80	
798	798	82	
799	799	83	
800	800	85	
801	801	86	
802	802	88	
803	803	89	
804	804	90	
805	805	92	
806	806	93	
807	807	95	
808	808	97	
809	809	98	
810	810	100	
811	811	101	
812	812	103	
813	813	104	
814	814	106	
815	815	107	
816	816	109	
817	817	110	
818	818	112	
819	819	113	
820	820	115	
821	821	117	
822	822	118	
823	823	121	
824	824	123	
825	825	124	
826	826	126	
827	827	128	
828	828	129	
829	829	131	
830	830	132	
831	831	134	
832	832	135	
833	833	137	
834	834	138	
835	835	140	
836	836	142	
837	837	143	
838	838	145	
839	839	146	
840	840	148	
841	841	149	
842	842	151	
843	843	152	
844	844	154	
845	845	155	
846	846	157	
847	847	158	
848	848	160	
849	849	162	
850	850	163	
851	851	165	
852	852	166	
853	853	167	
854	854	169	
855	855	170	
856	856	172	
857	857	173	
858	858	175	
859	859	176	
860	860	178	
861	861	179	
862	862	181	
863	863	182	
864	864	183	
865	865	186	
866	866	188	
867	867	189	
868	868	190	
869	869	192	
870	870	193	
871	871	194	
872	872	196	
873	873	197	
874	874	198	
875	875	200	
876	876	201	
877	877	202	
878	878	203	
879	879	205	
880	880	206	
881	881	207	
882	882	208	
883	883	210	
884	884	211	
885	885	212	
886	886	213	
887	887	214	
888	888	215	
889	889	217	
890	890	218	
891	891	219	
892	892	220	
893	893	221	
894	894	222	
895	895	223	
896	896	224	
897	897	225	
898	898	226	
899	899	227	
900	900	228	
901	901	229	
902	902	230	
903	903	231	
904	904	232	
905	905	233	
906	906	234	
907	907	235	
908	908	236	
909	909	237	
910	910	238	
911	911	238	
912	912	239	
913	913	240	
914	914	241	
915	915	241	
916	916	242	
917	917	243	
918	918	243	
919	919	244	
920	920	245	
921	921	245	
922	922	246	
923	923	246	
924	924	247	
925	925	248	
926	926	248	
927	927	249	
928	928	249	
929	929	250	
930	930	250	
931	931	250	
932	932	251	
933	933	251	
934	934	252	
935	935	252	
936	936	252	
937	937	253	
938	938	253	
939	939	253	
940	940	253	
941	941	254	
942	942	254	
943	943	254	
944	944	254	
945	945	254	
946	946	255	
947	947	255	
948	948	255	
949	949	255	
950	950	255	
951	951	255	
952	952	255	
953	953	255	
954	954	255	
955	955	255	
956	956	255	
957	957	255	
958	958	255	
959	959	255	
960	960	254	
961	961	254	
962	962	254	
963	963	254	
964	964	254	
965	965	253	
966	966	253	
967	967	253	
968	968	253	
969	969	252	
970	970	252	
971	971	252	
972	972	251	
973	973	251	
974	974	250	
975	975	250	
976	976	250	
977	977	249	
978	978	249	
979	979	248	
980	980	248	
981	981	247	
982	982	246	
983	983	246	
984	984	245	
985	985	245	
986	986	244	
